0.440592,-0.00990401,0.298798,0.000602829,-0.000357677,-3.1411,---,-1.54671,1.69995,1.14554,-2.34225,1.17521,1.36377,2.28501
0.615916,0.117032,0.423664,-0.00197534,1.04681,-2.5142,---,-2.49327,-1.13975,2.55503,-0.931094,-1.43039,0.463894,-1.78871
0.507718,0.195661,0.42394,0.0010918,1.04576,-1.88457,---,-2.20333,-0.594721,2.77431,-1.68328,-1.33948,0.664618,-1.13319
0.373919,0.195348,0.423882,-0.00105528,1.04675,-1.25985,---,-1.92288,-0.0789686,2.79947,-2.37604,-1.49796,0.842996,-0.813978
0.266028,0.117391,0.423625,-0.00694715,1.04799,-0.634228,---,2.36055,1.6999,-1.37779,-2.76887,2.18851,3.65813,2.69084
0.265966,-0.13777,0.423691,0.00581409,1.04807,0.633289,---,-2.36545,1.69973,1.39978,-2.69933,-2.25356,3.69454,-2.57935
0.373894,-0.215986,0.423351,0.000776278,1.04805,1.2565,---,-2.27083,1.69997,1.63963,-2.45306,0.489553,2.06511,1.45222
0.507778,-0.216133,0.423336,0.00118588,1.045,1.88536,---,-1.61737,1.69197,1.64476,-1.75714,0.439554,1.45951,1.75024
0.616034,-0.137248,0.423467,0.00366223,1.04714,2.51574,---,-0.895477,1.70007,1.7062,-0.966807,0.579648,0.86051,2.15785
0.363386,0.227845,0.548606,1.70588,1.57023,0.448771,---,2.36752,1.18117,-1.96368,-2.24993,-0.534972,1.85642,-1.59664
0.238336,0.136937,0.549172,-0.185291,1.56898,-0.813381,---,-2.79951,1.19712,-2.70857,-2.85212,-1.22949,2.04711,-1.43414
0.238127,-0.157547,0.548442,1.4649,1.56991,2.09149,---,-1.88637,-1.0804,0.432968,-2.79716,1.78882,0.783906,1.33761
0.363378,-0.247892,0.548824,0.38534,1.56914,1.64189,---,-2.08275,-0.222194,1.01674,-2.08067,1.38557,0.802511,1.03547
0.517812,-0.248169,0.54874,-0.239763,1.56923,1.64557,---,-1.4062,0.879269,1.22873,-1.28122,0.717429,0.979218,1.49537
0.507946,0.195653,0.673523,3.14089,1.04921,1.25545,---,1.24502,1.14195,-1.97947,-0.996223,0.114308,0.972085,-1.91404
0.373917,0.195963,0.673555,-3.14099,1.04642,1.88516,---,2.14283,1.1421,-2.2143,-1.92188,-0.0458196,1.68014,-2.07461
0.265682,0.117203,0.673711,3.14077,1.04619,2.51205,---,2.75872,1.26973,-2.63384,-2.46953,-0.089817,2.16249,-2.4621
0.224137,-0.0101488,0.674146,3.14019,1.04719,-3.1415,---,-0.31781,-1.3773,0.105474,-2.6605,0.419664,2.29437,2.7994
0.265396,-0.137566,0.673968,3.13949,1.0486,-2.51587,---,0.0915302,-1.10873,-0.453049,-2.42379,0.408096,2.06484,2.1728
0.373784,-0.216381,0.673739,3.14122,1.04677,-1.88647,---,0.687983,-0.740199,-0.99583,-1.84971,0.438134,1.53611,1.72567
0.507748,-0.216118,0.674033,-3.1409,1.04812,-1.25671,---,1.93371,-0.746988,-1.86789,-0.847968,0.410623,0.840593,1.5754
